frame_idx,fid3d_idx,pos_x_mm,pos_y_mm,pos_z_mm,leftIndex,rightIndex,epipolarError_pixels,triangulationError_mm,probability,status_bits
17,4,-248.202835,-8.421495,1708.630737,6,8,0.106754,0.082767,0.500000,0
17,5,13343.440430,482.691132,-91830.140625,6,7,-1.372188,56.211155,0.500000,96
17,6,-41.870274,-21.798700,1646.722900,5,5,0.097433,0.071108,1.000000,0
17,7,-161.989044,-54.486412,1729.691040,4,4,0.118431,0.091914,1.000000,0
17,8,-513.818970,-148.070099,1936.030396,3,3,0.094463,0.084529,1.000000,0
17,9,-558.217407,-178.449844,1891.434204,2,2,0.092743,0.081487,1.000000,0
17,10,-472.502380,-192.843201,1933.373657,1,1,0.081163,0.072101,1.000000,0
17,11,-511.513184,-223.906860,1890.492920,0,0,0.092425,0.080592,1.000000,0
18,0,177.165543,68.820290,1914.054077,10,12,0.014166,0.011670,1.000000,0
18,1,-188.075302,31.610706,1757.442749,9,11,0.106078,0.083870,1.000000,0
18,2,35.080463,18.542826,1640.197266,8,10,0.128943,0.092838,1.000000,0
18,3,67.677505,14.248769,1672.360107,7,9,0.102341,0.074793,0.500000,0
18,4,50.396206,10.197206,1245.330078,7,8,-1.403261,0.770676,0.500000,0
18,5,-96.701691,20.213215,2431.377930,6,9,1.658550,1.777190,0.500000,0
18,6,-64.353752,12.909592,1617.970947,6,8,0.138824,0.099894,0.500000,0
18,7,-248.194687,-8.421365,1708.656372,5,7,0.105470,0.081773,0.500000,0
18,8,13332.830078,482.282928,-91761.539062,5,6,-1.371841,56.153828,0.500000,96
18,9,-161.980133,-54.487736,1729.703125,4,4,0.118175,0.091715,1.000000,0
18,10,-513.817200,-148.073654,1936.065308,3,3,0.097139,0.086924,1.000000,0
18,11,-558.215271,-178.442139,1891.444214,2,2,0.080945,0.071126,1.000000,0
18,12,-472.486511,-192.837280,1933.371338,1,1,0.064887,0.057650,1.000000,0
18,13,-511.489929,-223.913956,1890.493652,0,0,0.088071,0.076798,1.000000,0
19,0,177.150543,68.822075,1914.053955,11,12,0.017484,0.014404,1.000000,0
19,1,-188.094376,31.615988,1757.453247,10,11,0.106067,0.083862,1.000000,0
19,2,52.746899,20.633890,1684.436768,9,10,0.130446,0.096184,0.500000,0
19,3,48.517059,18.770679,1549.372437,9,9,-0.483844,0.328917,0.500000,0
19,4,26.296097,21.897783,1802.481934,8,10,0.750632,0.593314,0.500000,0
19,5,24.047993,19.803976,1648.443726,8,9,0.134914,0.097749,0.500000,0
19,6,-70.667725,1.628053,1615.094849,7,8,0.128572,0.092435,1.000000,0
19,7,77.768356,-4.774540,896.993774,6,7,1.603005,0.636787,0.500000,64
19,8,162.605881,-10.577889,1875.534180,6,6,0.175436,0.141982,0.500000,0
19,9,-248.202652,-8.419281,1708.635864,5,7,0.104546,0.081055,0.500000,0
19,10,13350.240234,482.576691,-91877.640625,5,6,-1.362454,55.834530,0.500000,96
19,11,-161.989563,-54.479988,1729.688354,4,4,0.117911,0.091510,1.000000,0
19,12,-513.825989,-148.065781,1936.056030,3,3,0.093727,0.083872,1.000000,0
19,13,-558.222473,-178.437317,1891.437744,2,2,0.078732,0.069182,1.000000,0
19,14,-472.498138,-192.839478,1933.377563,1,1,0.057985,0.051522,1.000000,0
19,15,-511.508942,-223.902405,1890.506958,0,0,0.083466,0.072786,1.000000,0
20,0,177.159607,68.818550,1914.049683,10,12,0.020396,0.016804,1.000000,0
20,1,81.416298,39.204224,1696.454590,9,11,0.057878,0.042814,1.000000,0
20,2,-188.080353,31.610027,1757.435059,8,10,0.105743,0.083605,1.000000,0
20,3,61.182041,5.256753,1672.920410,7,9,0.092871,0.067951,1.000000,0
20,4,-248.191269,-8.422652,1708.647217,6,8,0.107310,0.083199,0.500000,0
20,5,13351.410156,482.933289,-91890.406250,6,7,-1.365097,55.952660,0.500000,96
20,6,-22.809504,-50.884056,1658.802734,5,5,0.074675,0.054737,0.500000,0
20,7,-18.054081,-40.680943,1313.076782,5,4,-1.301689,0.760478,0.500000,0
20,8,-223.989090,-74.602806,2391.874268,4,5,1.516355,1.615950,0.500000,0
20,9,-161.983200,-54.484161,1729.716064,4,4,0.129957,0.100859,0.500000,0
20,10,-513.810913,-148.068634,1936.055664,3,3,0.106085,0.094927,1.000000,0
20,11,-558.220642,-178.444550,1891.468018,2,2,0.084823,0.074533,1.000000,0
20,12,-472.498016,-192.845551,1933.402954,1,1,0.057833,0.051388,1.000000,0
20,13,-511.511292,-223.917282,1890.538940,0,0,0.075586,0.065920,1.000000,0
21,0,177.149963,68.820503,1914.045532,10,12,0.011958,0.009851,1.000000,0
21,1,-188.086914,31.613451,1757.437988,9,11,0.106716,0.084374,1.000000,0
21,2,44.239544,3.040395,1654.863892,8,10,0.146881,0.106560,0.500000,0
21,3,49.130833,2.163236,1837.641724,8,9,-2.872075,2.307623,0.500000,0
21,4,73.903740,1.780263,1527.779419,7,10,3.121427,2.085902,0.500000,0
21,5,81.354973,0.852257,1681.954102,7,9,0.110456,0.081043,0.500000,0
21,6,-41.278416,-5.664567,1193.413208,6,8,-0.834901,0.446936,0.333333,0
21,7,-56.985622,-7.461503,1647.524902,6,7,0.136723,0.100026,0.333333,0
21,8,-138.990143,-20.379139,4018.926514,6,6,-2.340711,4.111653,0.333333,64
21,9,-248.198288,-8.420357,1708.624512,5,8,0.110007,0.085289,0.333333,0
