frame_idx,detection_idx,centerX_pixels,centerY_pixels,pixelsCount,width,height,status_bits
29,9,795.039612,577.849182,321,20,20,0
29,10,1249.711670,618.856873,120,9,16,0
29,11,634.779419,875.007324,10,4,4,0
30,0,425.638367,268.421570,170,15,15,0
30,1,484.386230,310.564392,169,15,15,0
30,2,370.307648,323.141663,168,15,15,0
30,3,436.970886,363.406982,155,14,13,0
30,4,825.466614,465.082336,329,21,20,0
30,5,979.274536,521.265564,390,22,22,0
30,6,708.170105,525.651062,340,21,21,0
30,7,1236.417236,523.979187,124,9,17,0
30,8,795.038452,577.846741,322,20,20,0
30,9,1109.793823,579.110962,388,22,22,0
30,10,1154.596558,606.106689,370,21,22,0
30,11,1249.722656,618.849609,121,9,17,0
31,0,425.641602,268.425568,169,15,15,0
31,1,484.392670,310.571777,171,15,15,0
31,2,370.307678,323.144592,170,15,15,0
31,3,436.968018,363.404358,155,14,13,0
31,4,825.459900,465.091644,330,21,20,0
31,5,1013.039490,525.278442,376,22,22,0
31,6,708.170349,525.653564,340,21,21,0
31,7,795.040710,577.852783,322,20,20,0
31,8,1139.081787,584.698730,373,22,22,0
31,9,1179.739136,607.527100,352,21,21,0
31,10,1249.721191,618.844055,120,9,17,0
32,0,425.639343,268.420532,169,15,15,0
32,1,484.377411,310.572205,165,14,15,0
32,2,370.316833,323.147552,171,15,15,0
32,3,436.969116,363.413574,155,14,13,0
32,4,825.463257,465.091248,329,21,20,0
32,5,989.770691,478.916168,364,21,22,0
32,6,1123.663086,506.517303,351,21,21,0
32,7,1165.616089,509.175110,323,21,20,0
32,8,708.224609,525.611389,337,21,21,0
32,9,1236.417603,523.989929,123,9,17,0
32,10,795.040833,577.852112,323,20,20,0
32,11,1249.717773,618.856750,121,9,17,0
33,0,425.632599,268.424072,168,15,15,0
33,1,484.378265,310.568481,168,15,15,0
33,2,370.309265,323.143158,169,15,15,0
33,3,436.963959,363.418365,155,14,13,0
33,4,825.462341,465.085907,330,21,20,0
33,5,1010.085876,499.575714,336,20,21,0
33,6,708.179810,525.636780,339,21,21,0
33,7,1132.688965,534.313721,314,20,21,0
33,8,1165.703247,535.854797,290,19,20,0
33,9,795.034851,577.851746,321,20,20,0
33,10,1249.710083,618.850281,121,9,17,0
34,0,425.634399,268.431366,170,15,15,0
34,1,484.372192,310.567261,169,15,15,0
34,2,370.306152,323.150909,171,15,15,0
34,3,436.971252,363.415314,155,14,13,0
34,4,825.454712,465.089874,330,21,20,0
34,5,987.469849,516.475037,323,19,21,0
34,6,1145.039795,522.874329,274,18,20,0
34,7,708.302612,525.558167,336,21,21,0
34,8,1236.411499,523.974976,123,9,17,0
34,9,1112.936646,530.410400,303,20,21,0
34,10,795.030640,577.848999,322,20,20,0
34,11,1249.713257,618.840576,121,9,17,0
35,0,425.646332,268.422089,170,15,15,0
35,1,484.386200,310.566589,169,15,15,0
35,2,370.303680,323.141693,169,15,15,0
35,3,436.966003,363.415680,155,14,13,0
35,4,825.464233,465.086243,329,21,20,0
35,5,1138.137817,469.844940,276,18,20,0
35,6,1105.804199,486.105316,300,19,20,0
35,7,977.215088,496.508881,327,20,21,0
35,8,708.169861,525.642395,337,21,21,0
35,9,795.033875,577.847351,321,20,20,0
35,10,1249.726807,618.863342,119,9,16,0
36,0,425.645447,268.419312,168,15,15,0
36,1,484.381744,310.565765,168,15,15,0
36,2,370.320038,323.144073,170,15,15,0
36,3,436.971588,363.414032,155,14,13,0
36,4,825.468445,465.086670,330,21,20,0
36,5,992.023499,471.964661,338,20,22,0
36,6,1115.004028,490.919159,313,18,22,0
36,7,1143.547729,491.805298,280,17,21,0
36,8,708.175415,525.643982,339,21,21,0
36,9,1236.410889,523.984070,124,9,17,0
36,10,795.037354,577.843994,322,20,20,0
36,11,1249.719238,618.835632,120,9,17,0
37,0,425.646118,268.418152,169,15,15,0
37,1,484.381287,310.559509,170,15,15,0
37,2,370.307678,323.138214,170,15,15,0
37,3,436.966125,363.400543,155,14,13,0
37,4,1160.862549,420.406555,318,19,21,0
37,5,1124.271362,435.547119,350,20,23,0
37,6,988.898621,457.220154,366,20,22,0
37,7,825.459045,465.070740,329,21,20,0
37,8,708.166016,525.643188,342,21,21,0
37,9,795.040710,577.840271,322,20,20,0
37,10,1249.716675,618.850464,120,9,17,0
37,11,592.155396,942.950867,16,5,4,0
37,12,478.203918,1016.897766,24,5,6,0
38,0,425.656189,268.415405,170,15,15,0
38,1,484.380280,310.555786,167,15,15,0
38,2,370.323151,323.143127,172,15,15,0
38,3,436.979889,363.398804,155,14,13,0
38,4,1161.287598,441.306885,328,20,21,0
38,5,1122.277344,447.687500,351,20,22,0
38,6,985.445374,453.034424,372,21,22,0
38,7,825.395081,465.153137,325,21,20,0
38,8,708.187561,525.639771,341,21,21,0
38,9,1236.419189,523.965515,123,9,17,0
38,10,795.048645,577.835022,322,20,20,0
38,11,1249.731812,618.829041,119,9,16,0
38,12,605.206665,937.323303,13,4,4,0
38,13,493.702148,1012.783813,21,5,5,0
39,0,425.620544,268.429901,169,15,15,0
39,1,484.352692,310.573792,167,15,15,0
39,2,370.280365,323.148010,171,15,15,0
39,3,436.950409,363.405273,155,14,13,0
39,4,825.442932,465.087097,329,21,20,0
39,5,708.141724,525.651733,340,21,21,0
39,6,1005.639038,537.508240,344,20,23,0
39,7,1170.148193,547.606567,306,19,21,0
39,8,1135.228271,548.585266,328,20,21,0
39,9,795.012939,577.853088,322,20,20,0
39,10,1249.694214,618.849365,121,9,17,0
39,11,607.039490,940.164490,15,4,4,0
39,12,495.397369,1014.740784,21,5,5,0
40,0,425.658173,268.423615,170,15,15,0
40,1,484.397919,310.566315,168,15,15,0
40,2,370.316132,323.154297,170,15,15,0
40,3,436.979584,363.418793,155,14,13,0
40,4,1155.527832,433.647461,325,19,21,0
40,5,1116.696045,439.584656,351,20,22,0
40,6,980.671570,446.234375,369,21,22,0
40,7,825.475037,465.092194,330,21,20,0
40,8,708.188049,525.648438,339,21,21,0
40,9,795.058838,577.851746,321,20,20,0
40,10,1249.731689,618.853943,121,9,16,0
40,11,496.735382,1016.173706,18,5,5,0
41,0,425.649261,268.415161,168,15,15,0
41,1,484.385864,310.559937,169,15,15,0
41,2,370.308167,323.148315,169,15,15,0
41,3,436.975281,363.403076,155,14,13,0
41,4,825.471741,465.076447,329,21,20,0
41,5,988.671387,485.430847,351,20,23,0
41,6,1157.528198,487.609528,314,19,21,0
41,7,1121.028687,489.865051,342,20,22,0
41,8,708.170532,525.640808,340,21,21,0
41,9,1236.421265,523.972168,122,9,17,0
41,10,795.040405,577.840393,322,20,20,0
41,11,1249.726440,618.840820,121,9,17,0
41,12,605.010925,935.814392,23,6,5,0
41,13,493.890991,1011.103638,24,6,6,0
42,0,425.639496,268.419250,168,15,15,0
42,1,484.383301,310.565247,167,15,15,0
42,2,370.309052,323.148346,171,15,15,0
42,3,436.969818,363.404053,155,14,13,0
42,4,825.463989,465.083801,329,21,20,0
42,5,992.135498,524.191589,347,20,22,0
42,6,708.167297,525.646118,339,21,21,0
42,7,1120.613770,539.633301,328,19,21,0
42,8,1155.364868,541.717651,307,19,21,0
42,9,795.042175,577.844299,323,20,20,0
42,10,1249.715698,618.844543,121,9,17,0
42,11,609.509338,930.860229,37,7,7,0
42,12,499.377502,1005.396729,32,7,7,0
43,0,425.633057,268.422302,169,15,15,0
43,1,484.367310,310.566315,169,15,15,0
43,2,370.298645,323.132812,171,15,15,0
43,3,436.968079,363.396576,155,14,13,0
43,4,1137.889282,456.483704,318,20,21,0
43,5,825.457153,465.079254,330,21,20,0
43,6,1100.326294,469.434784,338,20,21,0
43,7,966.864868,489.173492,355,20,22,0
43,8,708.158752,525.642090,340,21,21,0
43,9,795.028320,577.839905,323,20,20,0
43,10,1249.709351,618.846619,120,9,17,0
43,11,616.467285,921.107849,32,7,6,0
43,12,508.564606,995.172119,29,6,6,0
44,0,425.641479,268.430237,170,15,15,0
44,1,484.389832,310.565857,168,15,15,0
44,2,370.320831,323.141876,170,15,15,0
44,3,436.973389,363.411011,155,14,13,0
44,4,825.462402,465.090912,329,21,20,0
44,5,1151.173584,498.036926,297,18,20,0
44,6,985.354004,503.672363,341,20,22,0
44,7,1115.632324,505.168365,322,19,21,0
44,8,708.172302,525.650757,337,21,21,0
44,9,795.036438,577.850769,321,20,20,0
44,10,1249.719971,618.846497,120,9,17,0
44,11,613.527466,923.793213,36,7,7,0
44,12,504.840240,999.341614,28,6,6,0
45,0,425.658203,268.410522,168,15,15,0
45,1,484.383575,310.552063,167,15,15,0
45,2,370.315033,323.135040,170,15,15,0
45,3,436.982056,363.402100,155,14,13,0
45,4,825.469971,465.078735,329,21,20,0
45,5,986.884949,517.329590,351,20,22,0
45,6,708.179260,525.637451,337,21,21,0
45,7,1115.757935,548.858459,341,20,22,0
45,8,1153.236450,557.340576,317,20,21,0
45,9,795.044434,577.839600,322,21,20,0
45,10,1249.732910,618.837891,120,9,17,0
45,11,612.296326,922.607056,13,4,5,0
45,12,503.004791,997.752380,14,4,4,0
46,0,425.661621,268.435425,169,15,15,0
46,1,484.384338,310.572876,167,15,15,0
46,2,370.311615,323.154358,169,15,15,0
46,3,436.978699,363.408875,154,14,13,0
46,4,825.465271,465.089386,330,21,20,0
46,5,985.661194,476.946381,361,21,22,0
46,6,1117.823486,495.569824,340,20,21,0
46,7,1156.220215,500.190521,319,20,21,0
46,8,708.174866,525.647339,339,21,21,0
46,9,1236.419556,523.990234,123,9,17,0
46,10,795.039490,577.851379,322,20,20,0
46,11,1249.726196,618.852295,119,9,16,0
47,0,425.636688,268.407074,169,15,15,0
47,1,484.374817,310.561859,169,15,15,0
47,2,370.306854,323.135559,170,15,15,0
47,3,436.963074,363.396545,155,14,13,0
47,4,825.458435,465.073517,330,21,20,0
47,5,996.990051,492.464386,352,20,22,0
47,6,1126.422607,523.716187,345,21,22,0
47,7,708.165039,525.629578,343,21,21,0
47,8,1163.558716,534.352356,320,19,21,0
47,9,795.036133,577.834106,322,20,20,0
47,10,1249.723633,618.843018,120,9,16,0
48,0,425.649658,268.416138,168,15,15,0
48,1,484.386932,310.568604,168,15,15,0
48,2,370.330902,323.145844,170,15,15,0
48,3,436.984497,363.408752,155,14,13,0
48,4,825.467163,465.084167,329,21,20,0
48,5,971.087341,514.793884,361,21,22,0
48,6,1148.628174,518.608276,326,20,21,0
48,7,1107.139648,521.281433,350,20,22,0
48,8,708.176697,525.640625,342,21,21,0
48,9,1236.422974,523.989929,123,9,17,0
48,10,795.046082,577.839294,323,20,20,0
48,11,1249.723633,618.844116,120,9,17,0
49,0,425.632233,268.427917,169,15,15,0
49,1,484.374023,310.567444,171,15,15,0
49,2,370.296906,323.153992,169,15,15,0
49,3,436.947571,363.405518,155,14,13,0
49,4,825.453674,465.080719,329,21,20,0
49,5,999.090759,513.010864,349,20,22,0
49,6,708.164978,525.647034,339,21,21,0
49,7,1236.406372,523.985718,123,9,17,0
49,8,1125.418579,548.541321,337,20,21,0
49,9,1160.686035,558.770386,315,19,21,0
49,10,795.029846,577.848633,322,20,20,0
49,11,1249.709961,618.834290,120,9,16,0
50,0,425.630615,268.418182,169,15,15,0
50,1,484.373657,310.562653,167,15,15,0
50,2,370.305511,323.148773,172,15,15,0
50,3,436.964844,363.398743,155,14,13,0
50,4,825.453003,465.072632,331,21,20,0
50,5,1036.648560,511.600555,320,19,21,0
50,6,708.166199,525.638794,338,21,21,0
