frame_idx,marker_idx,geometryId,trackingId,registrationError_mm,tx_mm,ty_mm,tz_mm,r00,r01,r02,r10,r11,r12,r20,r21,r22,presenceMask,fidCorresp0,fidCorresp1,fidCorresp2,fidCorresp3,fidCorresp4,fidCorresp5,status_bits
70,0,420,70,0.154990,-130.522263,-37.889381,1652.289429,0.894315,0.314741,-0.318023,0.292295,0.127179,0.947834,0.338768,-0.940619,0.021741,7,6,5,1,4294967295,4294967295,4294967295,0
71,0,420,71,0.159899,-143.733582,-0.659739,1648.765991,0.924146,0.293425,-0.244656,0.188646,0.206392,0.960112,0.332216,-0.933437,0.135383,7,6,4,1,4294967295,4294967295,4294967295,0
72,0,420,72,0.177546,-133.759384,-36.124828,1647.404297,0.899151,0.316907,-0.301824,0.272640,0.133859,0.952759,0.342338,-0.938963,0.033958,7,4,3,1,4294967295,4294967295,4294967295,0
73,0,420,73,0.177855,-127.301788,-39.285397,1648.946899,0.868292,0.354213,-0.347277,0.323811,0.125616,0.937746,0.375785,-0.926690,-0.005627,7,6,2,1,4294967295,4294967295,4294967295,0
74,0,420,74,0.155572,-133.278900,-18.429337,1650.004272,0.878993,0.336688,-0.337657,0.302852,0.152763,0.940715,0.368309,-0.929142,0.032311,7,6,4,3,4294967295,4294967295,4294967295,0
75,0,420,75,0.184717,-128.957657,-46.082909,1647.212036,0.851771,0.347856,-0.391768,0.397675,0.057556,0.915719,0.341087,-0.935780,-0.089309,7,4,2,1,4294967295,4294967295,4294967295,0
76,0,420,76,0.152871,-148.183990,-12.015679,1646.167969,0.923687,0.314641,-0.218641,0.178299,0.152108,0.972148,0.339135,-0.936944,0.084400,7,6,4,1,4294967295,4294967295,4294967295,0
77,0,420,77,0.166277,-131.153488,-37.423153,1649.823975,0.869018,0.322063,-0.375611,0.358342,0.113788,0.926630,0.341173,-0.939855,-0.016525,7,4,2,1,4294967295,4294967295,4294967295,0
78,0,420,78,0.163755,-146.220505,-13.081157,1642.864502,0.918358,0.330405,-0.217832,0.169307,0.169502,0.970878,0.357706,-0.928494,0.099724,7,9,8,1,4294967295,4294967295,4294967295,0
79,0,420,79,0.145517,-148.676697,16.326738,1637.996094,0.931860,0.346166,-0.108661,-0.022535,0.354133,0.934924,0.362119,-0.868769,0.337803,7,3,2,6,4294967295,4294967295,4294967295,0
80,0,420,80,0.164802,-154.034302,18.475815,1652.614258,0.953858,0.268043,-0.135305,0.089225,0.177237,0.980115,0.286694,-0.946963,0.145143,7,5,4,1,4294967295,4294967295,4294967295,0
81,0,420,81,0.172636,-166.492493,69.770943,1643.003052,0.956331,0.284931,0.065153,-0.151921,0.294132,0.943613,0.249701,-0.912305,0.324575,7,3,4,5,4294967295,4294967295,4294967295,0
