Timestamp;Index;CoordX;CoordY;CoordZ;Epipolar;Triangulation;Probability;LeftIndex;RightIndex
0x000000005a3d6b0b;1;142.8168;28.2195;796.4933;0.1983;0.0690;1.0000;2;2
0x000000005a3d6b0b;2;81.8988;-7.1721;813.2537;-0.0296;0.0107;1.0000;1;1
0x000000005a3d6b0b;3;117.8725;-33.3729;789.0005;0.0416;0.0144;1.0000;0;0
0x000000005a3d8e06;0;92.3683;46.8625;825.9960;-0.5064;0.1848;1.0000;3;3
0x000000005a3d8e06;1;142.8609;28.2427;796.5070;0.1957;0.0681;1.0000;2;2
0x000000005a3d8e06;2;81.9440;-7.1597;813.2391;-0.0280;0.0101;1.0000;1;1
0x000000005a3d8e06;3;117.9332;-33.3525;788.9972;0.0414;0.0144;1.0000;0;0
0x000000005a3dc853;0;92.4105;46.8820;825.9667;-0.5190;0.1894;1.0000;3;3
0x000000005a3dc853;1;142.9203;28.2698;796.5046;0.2010;0.0699;1.0000;2;2
0x000000005a3dc853;2;82.0071;-7.1487;813.2148;-0.0252;0.0091;1.0000;1;1
0x000000005a3dc853;3;118.0158;-33.3355;788.9924;0.0396;0.0137;1.0000;0;0
0x000000005a3deb4f;0;92.4253;46.8917;825.9349;-0.5141;0.1876;1.0000;3;3
0x000000005a3deb4f;1;142.9401;28.2778;796.4817;0.2004;0.0697;1.0000;2;2
0x000000005a3deb4f;2;82.0240;-7.1408;813.1878;-0.0224;0.0081;1.0000;1;1
0x000000005a3deb4f;3;118.0379;-33.3288;788.9734;0.0407;0.0141;1.0000;0;0
0x000000005a3e3145;0;92.4360;46.9261;825.8510;-0.5250;0.1915;1.0000;3;3
0x000000005a3e3145;1;142.9392;28.2977;796.3959;0.1997;0.0695;1.0000;2;2
0x000000005a3e3145;2;82.0162;-7.1019;813.1147;-0.0266;0.0096;1.0000;1;1
0x000000005a3e3145;3;118.0158;-33.3022;788.8921;0.0416;0.0144;1.0000;0;0
0x000000005a3e5440;0;92.4327;46.9444;825.8127;-0.5131;0.1872;1.0000;3;3
0x000000005a3e5440;1;142.9277;28.3109;796.3356;0.1988;0.0692;1.0000;2;2
0x000000005a3e5440;2;82.0051;-7.0808;813.0664;-0.0244;0.0088;1.0000;1;1
0x000000005a3e5440;3;117.9952;-33.2837;788.8342;0.0339;0.0118;1.0000;0;0
0x000000005a3e9a37;0;92.4385;46.9686;825.7202;-0.5033;0.1836;1.0000;3;3
0x000000005a3e9a37;1;142.9176;28.3291;796.2173;0.2020;0.0703;1.0000;2;2
0x000000005a3e9a37;2;81.9950;-7.0527;812.9737;-0.0218;0.0078;1.0000;1;1
0x000000005a3e9a37;3;117.9685;-33.2589;788.7272;0.0416;0.0144;1.0000;0;0
0x000000005a3eb189;0;92.4482;46.9787;825.6871;-0.5189;0.1893;1.0000;3;3
0x000000005a3eb189;1;142.9229;28.3331;796.1815;0.2023;0.0704;1.0000;2;2
0x000000005a3eb189;2;81.9983;-7.0463;812.9417;-0.0228;0.0082;1.0000;1;1
0x000000005a3eb189;3;117.9715;-33.2558;788.6943;0.0405;0.0140;1.0000;0;0
0x000000005a3ef77f;0;92.4862;46.9823;825.5894;-0.5146;0.1877;1.0000;3;3
0x000000005a3ef77f;1;142.9610;28.3357;796.0864;0.1994;0.0694;1.0000;2;2
0x000000005a3ef77f;2;82.0393;-7.0406;812.8536;-0.0245;0.0089;1.0000;1;1
0x000000005a3ef77f;3;118.0108;-33.2537;788.6064;0.0420;0.0146;1.0000;0;0
0x000000005a3f1a7b;0;92.5103;46.9843;825.5439;-0.5098;0.1859;1.0000;3;3
0x000000005a3f1a7b;1;142.9888;28.3379;796.0386;0.2019;0.0702;1.0000;2;2
0x000000005a3f1a7b;2;82.0687;-7.0406;812.8079;-0.0342;0.0124;1.0000;1;1
0x000000005a3f1a7b;3;118.0426;-33.2523;788.5694;0.0368;0.0128;1.0000;0;0
0x000000005a3f6c1a;0;92.5815;46.9900;825.4580;-0.5110;0.1863;1.0000;3;3
0x000000005a3f6c1a;1;143.0673;28.3535;795.9543;0.2004;0.0697;1.0000;2;2
0x000000005a3f6c1a;2;82.1457;-7.0321;812.7010;-0.0263;0.0095;1.0000;1;1
0x000000005a3f6c1a;3;118.1235;-33.2354;788.4545;0.0445;0.0154;1.0000;0;0
0x000000005a3f8f15;0;92.6137;46.9899;825.4274;-0.5120;0.1867;1.0000;3;3
0x000000005a3f8f15;1;143.1002;28.3655;795.9283;0.2056;0.0715;1.0000;2;2
0x000000005a3f8f15;2;82.1815;-7.0322;812.6570;-0.0213;0.0077;1.0000;1;1
0x000000005a3f8f15;3;118.1638;-33.2241;788.4041;0.0399;0.0138;1.0000;0;0
